Date	Time	Temperature
2017-02-19	15:18:09	20.187
2017-02-19	15:18:11	20.125
2017-02-19	15:18:13	20.187
2017-02-19	15:18:15	20.187
2017-02-19	15:18:17	20.187
2017-02-19	15:18:19	20.187
2017-02-19	15:18:21	20.187
2017-02-19	15:18:23	20.187
2017-02-19	15:18:25	20.125
2017-02-19	15:18:27	20.187
2017-02-19	15:18:29	20.187
2017-02-19	15:18:31	20.125
2017-02-19	15:18:34	20.125
2017-02-19	15:18:36	20.125
2017-02-19	15:18:38	20.187
2017-02-19	15:18:40	20.125
2017-02-19	15:18:42	20.125
2017-02-19	15:18:44	20.125
2017-02-19	15:18:46	20.187
2017-02-19	15:18:48	20.187
2017-02-19	15:18:50	20.187
2017-02-19	15:18:52	20.125
2017-02-19	15:18:54	20.125
2017-02-19	15:18:57	20.187
2017-02-19	15:18:59	20.125
2017-02-19	15:19:01	20.187
2017-02-19	15:19:03	20.187
2017-02-19	15:19:05	20.125
2017-02-19	15:19:07	20.125
2017-02-19	15:19:09	20.187
2017-02-19	15:19:11	20.125
2017-02-19	15:19:13	20.125
2017-02-19	15:19:15	20.187
2017-02-19	15:19:17	20.125
2017-02-19	15:19:19	20.125
2017-02-19	15:19:21	20.125
2017-02-19	15:19:24	20.125
2017-02-19	15:19:26	20.187
2017-02-19	15:19:28	20.187
2017-02-19	15:19:30	20.187
2017-02-19	15:19:32	20.187
2017-02-19	15:19:34	20.125
2017-02-19	15:19:36	20.187
2017-02-19	15:19:38	20.187
2017-02-19	15:19:40	20.187
2017-02-19	15:19:42	20.187
2017-02-19	15:19:44	20.187
2017-02-19	15:19:47	20.187
2017-02-19	15:19:49	20.187
2017-02-19	15:19:51	20.187
2017-02-19	15:19:53	20.187
2017-02-19	15:19:55	20.187
2017-02-19	15:19:57	20.187
2017-02-19	15:19:59	20.187
2017-02-19	15:20:01	20.187
2017-02-19	15:20:03	20.187
2017-02-19	15:20:05	20.187
2017-02-19	15:20:07	20.187
2017-02-19	15:20:09	20.187
2017-02-19	15:20:12	20.187
2017-02-19	15:20:14	20.125
2017-02-19	15:20:16	20.187
2017-02-19	15:20:18	20.187
2017-02-19	15:20:20	20.187
2017-02-19	15:20:22	20.187
2017-02-19	15:20:24	20.187
2017-02-19	15:20:26	20.187
2017-02-19	15:20:28	20.187
2017-02-19	15:20:30	20.187
2017-02-19	15:20:32	20.187
2017-02-19	15:20:34	20.187
2017-02-19	15:20:37	20.125
2017-02-19	15:20:40	20.187
2017-02-19	15:20:42	20.187
2017-02-19	15:20:44	20.187
2017-02-19	15:20:46	20.187
2017-02-19	15:20:48	20.187
2017-02-19	15:20:50	20.187
2017-02-19	15:20:52	20.187
2017-02-19	15:20:57	20.187
2017-02-19	15:21:00	20.187
2017-02-19	15:21:02	20.187
2017-02-19	15:21:04	20.187
2017-02-19	15:21:06	20.187
2017-02-19	15:21:08	20.187
2017-02-19	15:21:10	20.187
2017-02-19	15:21:12	20.187
2017-02-19	15:21:15	20.187
2017-02-19	15:21:17	20.187
2017-02-19	15:21:19	20.187
2017-02-19	15:21:21	20.187
2017-02-19	15:21:23	20.187
2017-02-19	15:21:25	20.187
2017-02-19	15:21:27	20.187
2017-02-19	15:21:29	20.187
2017-02-19	15:21:31	20.187
2017-02-19	15:21:33	20.187
2017-02-19	15:21:36	20.187
2017-02-19	15:21:38	20.187
2017-02-19	15:21:40	20.187
2017-02-19	15:21:42	20.187
2017-02-19	15:21:44	20.187
2017-02-19	15:21:46	20.187
2017-02-19	15:21:48	20.187
2017-02-19	15:21:50	20.187
2017-02-19	15:21:52	20.187
2017-02-19	15:21:54	20.187
2017-02-19	15:21:57	20.187
2017-02-19	15:21:59	20.187
2017-02-19	15:22:01	20.187
2017-02-19	15:22:03	20.187
2017-02-19	15:22:05	20.187
2017-02-19	15:22:07	20.187
2017-02-19	15:22:10	20.187
2017-02-19	15:22:12	20.187
2017-02-19	15:22:15	20.187
2017-02-19	15:22:17	20.187
2017-02-19	15:22:19	20.187
2017-02-19	15:22:22	20.187
2017-02-19	15:22:24	20.187
2017-02-19	15:22:26	20.187
2017-02-19	15:22:28	20.187
2017-02-19	15:22:30	20.187
2017-02-19	15:22:33	20.187
2017-02-19	15:22:35	20.187
2017-02-19	15:22:37	20.187
2017-02-19	15:22:39	20.187
2017-02-19	15:22:43	20.25
2017-02-19	15:22:45	20.25
2017-02-19	15:22:47	20.187
2017-02-19	15:22:49	20.187
2017-02-19	15:22:52	20.187
2017-02-19	15:22:54	20.187
2017-02-19	15:22:57	20.187
2017-02-19	15:22:59	20.187
2017-02-19	15:23:01	20.187
2017-02-19	15:23:03	20.187
2017-02-19	15:23:05	20.187
2017-02-19	15:23:08	20.187
2017-02-19	15:23:10	20.187
2017-02-19	15:23:12	20.187
2017-02-19	15:23:14	20.187
2017-02-19	15:23:17	20.187
2017-02-19	15:23:19	20.187
2017-02-19	15:23:21	20.187
2017-02-19	15:23:24	20.187
2017-02-19	15:23:26	20.187
2017-02-19	15:23:28	20.187
2017-02-19	15:23:30	20.187
2017-02-19	15:23:32	20.187
2017-02-19	15:23:34	20.187
2017-02-19	15:23:36	20.187
2017-02-19	15:23:38	20.187
2017-02-19	15:23:40	20.187
2017-02-19	15:23:43	20.187
2017-02-19	15:23:45	20.187
2017-02-19	15:23:47	20.187
2017-02-19	15:23:49	20.187
2017-02-19	15:23:51	20.187
2017-02-19	15:23:53	20.25
2017-02-19	15:23:55	20.187
2017-02-19	15:23:57	20.187
2017-02-19	15:24:00	20.187
2017-02-19	15:24:02	20.062
2017-02-19	15:24:04	19.875
2017-02-19	15:24:06	19.562
2017-02-19	15:24:09	19.187
2017-02-19	15:24:11	19.125
2017-02-19	15:24:13	18.937
2017-02-19	15:24:15	18.75
2017-02-19	15:24:17	18.75
2017-02-19	15:24:19	18.687
2017-02-19	15:24:21	18.625
2017-02-19	15:24:24	18.5
2017-02-19	15:24:26	18.5
2017-02-19	15:24:28	18.437
2017-02-19	15:24:30	18.25
2017-02-19	15:24:32	18.125
2017-02-19	15:24:34	18.0
2017-02-19	15:24:36	17.937
2017-02-19	15:24:38	17.875
2017-02-19	15:24:40	17.875
2017-02-19	15:24:42	17.875
2017-02-19	15:24:45	17.937
2017-02-19	15:24:47	18.062
2017-02-19	15:24:49	17.937
2017-02-19	15:24:51	17.875
2017-02-19	15:24:53	17.875
2017-02-19	15:24:55	17.875
2017-02-19	15:24:57	17.875
2017-02-19	15:24:59	17.937
2017-02-19	15:25:01	17.812
2017-02-19	15:25:03	17.687
2017-02-19	15:25:06	17.625
2017-02-19	15:25:08	17.625
2017-02-19	15:25:10	17.625
2017-02-19	15:25:12	17.687
2017-02-19	15:25:14	17.75
2017-02-19	15:25:16	17.687
2017-02-19	15:25:18	17.75
2017-02-19	15:25:20	17.75
2017-02-19	15:25:23	17.812
2017-02-19	15:25:25	17.75
2017-02-19	15:25:27	17.75
2017-02-19	15:25:30	17.687
2017-02-19	15:25:32	17.437
2017-02-19	15:25:34	17.25
2017-02-19	15:25:36	17.25
2017-02-19	15:25:38	17.187
2017-02-19	15:25:40	17.25
2017-02-19	15:25:42	17.25
2017-02-19	15:25:44	17.312
2017-02-19	15:25:46	17.312
2017-02-19	15:25:49	17.25
2017-02-19	15:25:51	17.312
